INFO  - 2013-12-09 23:03:35.890; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2013-12-09 23:03:35.903; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-12-09 23:03:35.905; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-12-09 23:03:35.906; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-12-09 23:03:35.919; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2013-12-09 23:03:35.919; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-12-09 23:03:35.922; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/xinghao/Downloads/solr-4.6.0/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@5e6e3fe4; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-12-09 23:03:35.923; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-12-09 23:03:35.928; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@466481eb main
INFO  - 2013-12-09 23:03:35.932; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2013-12-09 23:03:35.937; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2013-12-09 23:03:35.942; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2013-12-09 23:03:35.944; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/xinghao/Downloads/solr-4.6.0/example/solr/collection1/conf/elevate.xml
INFO  - 2013-12-09 23:03:35.966; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2013-12-09 23:03:35.967; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@466481eb main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-12-09 23:03:35.968; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2013-12-09 23:03:35.970; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/xinghao/Downloads/solr-4.6.0/example
INFO  - 2013-12-09 23:03:35.971; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-12-09 23:03:35.998; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2013-12-09 23:03:36.007; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=37 
INFO  - 2013-12-09 23:03:36.007; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-12-09 23:03:36.007; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2013-12-09 23:03:36.008; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2013-12-09 23:03:36.008; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@466481eb main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-12-09 23:03:43.379; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1386590623370&wt=json} status=0 QTime=1 
INFO  - 2013-12-09 23:03:43.518; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1386590623398&wt=json} status=0 QTime=100 
